Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),√x (sx) error,Pauli-X error
22,360.83,198.95,4.668,-0.31332,0.008,0.0094,0.0066,1244.444,0.0001465,0.0001465
23,377.36,61.17,4.758,-0.31174,0.042,0.0632,0.0208,1244.444,0.0001682,0.0001682
24,325.16,21.64,4.611,-0.31355,0.0307,0.0254,0.036,1244.444,0.0003428,0.0003428
25,151.02,240.27,4.732,-0.31226,0.025,0.023,0.027,1244.444,0.0006846,0.0006846
26,357.16,86.53,4.777,-0.31228,0.0038,0.0044,0.0032,1244.444,0.000315,0.000315
27,243.23,144.48,4.68,-0.31283,0.0088,0.0096,0.008,1244.444,0.0002251,0.0002251
28,272.73,74.63,4.744,-0.27186,0.0539,0.0436,0.0642,1244.444,0.0002639,0.0002639
29,283.12,174.72,4.792,-0.32426,0.0126,0.0152,0.01,1244.444,0.0005181,0.0005181
30,352.61,375.88,4.693,-0.31268,0.0094,0.0132,0.0056,1244.444,0.0001284,0.0001284
31,294.52,28.14,5.058,-0.30701,0.012,0.0128,0.0112,1244.444,0.0004118,0.0004118
32,281.01,235.79,4.93,-0.30828,0.0326,0.0378,0.0274,1244.444,0.0002694,0.0002694
33,328.91,361.14,4.677,-0.31373,0.0056,0.0068,0.0044,1244.444,0.0002763,0.0002763
34,319.51,75.39,4.71,-0.2877,0.0492,0.044,0.0544,1244.444,0.0003902,0.0003902
35,356.61,59.46,4.915,-0.3092,0.0107,0.0104,0.011,1244.444,0.0001474,0.0001474
